Geneid	PCA2-infected_7h_SRR15896668
72243	44
210035	349
432516	3
21334	53
320080	112
11536	4
107605	0
103142	4
19683	0
380674	0
216453	0
216454	0
54150	0
70061	0
27400	0
100043618	307
19075	2581
17938	55071
56351	8907
11947	30355
751518	0
116848	988
56516	455
216456	88
66701	584
17339	20
100502681	137
21853	1981
28194	15
103161	4
20847	319
83430	4
103135	279
56530	4734
12974	2905
210582	231
237615	147
72002	62
69917	1906
67588	393
68094	1459
17904	12804
216459	32
100502705	308
23943	1030
103284	286
67945	151117
18813	13599
13867	4
668459	4
27370	101857
22781	2
211389	132
19344	269
12566	494
20431	11
13139	33
78428	551
58223	37
73827	9
74330	140
66844	22
66118	6641
14561	1
12512	4044
19682	9
14533	4708
16404	1
71664	1
18373	0
258861	0
622733	0
544748	0
546487	0
258315	0
258863	0
257667	0
100504697	0
258862	0
258540	0
257666	0
257664	0
258232	0
258538	0
404321	0
258537	0
544749	0
258281	0
258723	0
257985	0
258724	0
258542	0
258069	0
258544	0
258935	0
258932	0
258150	0
258375	0
258933	0
258549	0
258929	0
258541	0
258282	0
258934	0
258547	0
258068	0
258548	0
258546	0
258931	0
258930	0
258321	0
258543	0
258545	0
258791	0
258252	0
259165	0
258665	0
258667	0
258773	0
100043200	0
258266	0
258670	0
258772	0
258666	0
258668	0
258669	0
258672	0
258671	0
258297	0
11923	0
67596	315
625068	3
623734	0
625109	0
625131	0
236604	635
78887	326
74203	1743
13494	3181
56218	129
791413	100
216505	761
16886	233
193670	149
71523	37
100503029	181
237625	0
170835	6
114679	903
29856	104
544752	1626
74522	434
74309	0
67430	7
75219	28
103710	85
21452	530
75342	1
64934	2259
53897	61
103655	1
380683	0
100503079	0
67900	800
67815	151
71673	184
216516	21
67465	2429
103724	201
71962	42
18413	351
16878	9
75828	9
74302	729
